SEIL;DER;22/04/2025;755;"Duplicação Ponta Grossa ¿ Palmeira e implantação do Contorno Rodoviário de Palmeira - PR-151 - 49,11km
- VALOR CO R$ 294.660.000,00 | 2025OB006906";26;R$ 21,927.17;sim
SEIL;DER;22/04/2025;755;"Duplicação Ponta Grossa ¿ Palmeira e implantação do Contorno Rodoviário de Palmeira - PR-151 - 49,11km
- VALOR CO R$ 294.660.000,00 | 2025OB006909";26;R$ 2,607,096.72;sim
SEIL;DER;28/04/2025;755;Implantação da rodovia PR-990, no entroncamento da rodovia PR-364 e a cidade de Rebouças | 2025OB007442;26;R$ 734,593.39;sim
SEIL;DER;29/04/2025;755;Implantação da rodovia PR-990, no entroncamento da rodovia PR-364 e a cidade de Rebouças | 2025OB007551;26;R$ 9,201.59;sim
SEIL;DER;29/04/2025;755;Implantação da rodovia PR-990, no entroncamento da rodovia PR-364 e a cidade de Rebouças | 2025OB007552;26;R$ 23,003.97;sim
SEIL;DER;30/04/2025;755;Restauração com ampliação de capacidade da rodovia PR-180 trecho Goioerê | 2025OB007606;26;R$ 73,784.65;sim
SEIL;DER;30/04/2025;755;Restauração com ampliação de capacidade da rodovia PR-180 trecho Goioerê | 2025OB007607;26;R$ 61,044.50;sim
SEIL;DER;30/04/2025;755;Restauração com ampliação de capacidade da rodovia PR-180 trecho Goioerê | 2025OB007608;26;R$ 92,894.87;sim
SEIL;DER;30/04/2025;755;Restauração com ampliação de capacidade da rodovia PR-180 trecho Goioerê | 2025OB007609;26;R$ 5,920,996.83;sim
SECID;COHAPAR;06/05/2025;755;Construção de novas unidades habitacionais ou melhorias ou reformas, para pessoas idosas sem moradia, em Toledo | 2025OB001333;16;R$ 46,314.23;sim
SECID;COHAPAR;15/05/2025;755;Construção de novas unidades habitacionais ou melhorias ou reformas, para pessoas idosas sem moradia, em Toledo | 2025OB001491;16;R$ 2,310.12;sim
SECID;COHAPAR;21/05/2025;755;Construção de novas unidades habitacionais ou melhorias ou reformas, para pessoas idosas sem moradia, em Guaíra | 2025OB001581;16;R$ 71,839.09;sim
SECID;COHAPAR;23/05/2025;755;Construção de novas unidades habitacionais ou melhorias ou reformas, para pessoas idosas sem moradia, em Santo Antônio do Sudoeste | 2025OB001629;16;R$ 748,009.16;sim
SECID;COHAPAR;23/05/2025;755;Construção de novas unidades habitacionais ou melhorias ou reformas, para pessoas idosas sem moradia, em Toledo | 2025OB001630;16;R$ 77,442.42;sim
SECID;COHAPAR;23/05/2025;755;Construção de novas unidades habitacionais ou melhorias ou reformas, para pessoas idosas sem moradia, em Toledo | 2025OB001631;16;R$ 5,525.89;sim
SECID;COHAPAR;23/05/2025;755;Construção de novas unidades habitacionais ou melhorias ou reformas, para pessoas idosas sem moradia, em Toledo | 2025OB001632;16;R$ 3,304.74;sim
SEED;FUNDEPAR;16/05/2025;755;Construir a Escola Estadual Professora Mireille Maria Franco Zanon Machado, no município de Mandirituba (Unidade Nova Escolar Lagoinha). | 2025OB004069;12;R$ 2,603.59;sim
SEED;FUNDEPAR;16/05/2025;755;Construir a Escola Estadual Professora Mireille Maria Franco Zanon Machado, no município de Mandirituba (Unidade Nova Escolar Lagoinha). | 2025OB004070;12;R$ 5,753.81;sim
SEED;FUNDEPAR;16/05/2025;755;Construir a Escola Estadual Professora Mireille Maria Franco Zanon Machado, no município de Mandirituba (Unidade Nova Escolar Lagoinha). | 2025OB004071;12;R$ 471,126.72;sim
SEED;FUNDEPAR;21/05/2025;755;Ampliar o Colégio Estadual Nirlei Medeiros - EF EM PROFIS, no município de Curitiba/Curitiba | 2025OB004276;12;R$ 5,030.94;sim
SEED;FUNDEPAR;21/05/2025;755;Ampliar o Colégio Estadual Nirlei Medeiros - EF EM PROFIS, no município de Curitiba/Curitiba | 2025OB004277;12;R$ 354,578.63;sim
SEED;FUNDEPAR;22/05/2025;755;Ampliar o Colégio Estadual Nirlei Medeiros - EF EM PROFIS, no município de Curitiba/Curitiba | 2025OB004317;12;R$ 5,097.31;sim
SEED;FUNDEPAR;22/05/2025;755;Ampliar o Colégio Estadual Nirlei Medeiros - EF EM PROFIS, no município de Curitiba/Curitiba | 2025OB004318;12;R$ 359,256.34;sim
SEIL;DER;15/05/2025;755;Duplicação e restauração da rodovia PR-170/PRC-466, Turvo - Guarapuava | 2025OB008179;26;R$ 101,683.85;sim
SEIL;DER;15/05/2025;755;Duplicação e restauração da rodovia PR-170/PRC-466, Turvo - Guarapuava | 2025OB008180;26;R$ 63,552.40;sim
SEIL;DER;15/05/2025;755;Restauração em whitetopping na rodovia PRC-280, no trecho Clevelândia/Pato Branco | 2025OB008181;26;R$ 24,586,773.09;sim
SEIL;DER;15/05/2025;755;Duplicação e restauração da rodovia PR-170/PRC-466, Turvo - Guarapuava | 2025OB008182;26;R$ 8,249,553.91;sim
SEIL;DER;16/05/2025;755;Restauração em whitetopping na rodovia PRC-280, no trecho Clevelândia/Pato Branco | 2025OB008366;26;R$ 308,506.51;sim
SEIL;DER;16/05/2025;755;Restauração em whitetopping na rodovia PRC-280, no trecho Clevelândia/Pato Branco | 2025OB008367;26;R$ 382,509.50;sim
SEIL;DER;16/05/2025;755;Restauração em whitetopping na rodovia PRC-280, no trecho Clevelândia/Pato Branco | 2025OB008368;26;R$ 365,194.58;sim
SEIL;DER;16/05/2025;755;Restauração em whitetopping na rodovia PRC-280, no trecho Clevelândia/Pato Branco | 2025OB008369;26;R$ 41,262.75;sim
SEIL;DER;16/05/2025;755;Restauração em whitetopping na rodovia PRC-280, no trecho Clevelândia/Pato Branco | 2025OB008370;26;R$ 24,629.10;sim
SEIL;DER;16/05/2025;755;Execução de Projeto e Obra de Restauração com melhorias das Rodovias PR-180 e PR-281, no trecho Dois Vizinhos - Francisco Beltrão | 2025OB008371;26;R$ 9,934.69;sim
SEIL;DER;16/05/2025;755;Execução de Projeto e Obra de Restauração com melhorias das Rodovias PR-180 e PR-281, no trecho Dois Vizinhos - Francisco Beltrão | 2025OB008372;26;R$ 6,996.43;sim
SEIL;DER;16/05/2025;755;Execução de Projeto e Obra de Restauração com melhorias das Rodovias PR-180 e PR-281, no trecho Dois Vizinhos - Francisco Beltrão | 2025OB008373;26;R$ 5,630.16;sim
SEIL;DER;16/05/2025;755;Execução de Projeto e Obra de Restauração com melhorias das Rodovias PR-180 e PR-281, no trecho Dois Vizinhos - Francisco Beltrão | 2025OB008374;26;R$ 6,500.03;sim
SEIL;DER;16/05/2025;755;Execução de Projeto e Obra de Restauração com melhorias das Rodovias PR-180 e PR-281, no trecho Dois Vizinhos - Francisco Beltrão | 2025OB008375;26;R$ 99.51;sim
SEIL;DER;16/05/2025;755;Duplicação e restauração da rodovia PR-170/PRC-466, Pitanga-Turvo | 2025OB008376;26;R$ 22,727.78;sim
SEIL;DER;16/05/2025;755;Duplicação e restauração da rodovia PR-170/PRC-466, Pitanga-Turvo | 2025OB008377;26;R$ 22,312.99;sim
SEIL;DER;16/05/2025;755;Duplicação e restauração da rodovia PR-170/PRC-466, Pitanga-Turvo | 2025OB008378;26;R$ 26,688.09;sim
SEIL;DER;16/05/2025;755;Duplicação e restauração da rodovia PR-170/PRC-466, Turvo - Guarapuava | 2025OB008379;26;R$ 52,368.97;sim
SEIL;DER;16/05/2025;755;Duplicação e restauração da rodovia PR-170/PRC-466, Pitanga-Turvo | 2025OB008380;26;R$ 18,343.21;sim
SEIL;DER;16/05/2025;755;Execução de Projeto e Obra de Restauração com melhorias das Rodovias PR-180 e PR-281, no trecho Dois Vizinhos - Francisco Beltrão | 2025OB008381;26;R$ 807,092.33;sim
SEIL;DER;16/05/2025;755;Duplicação e restauração da rodovia PR-170/PRC-466, Pitanga-Turvo | 2025OB008382;26;R$ 1,803,909.07;sim
SEIL;DER;21/05/2025;755;Implantação da rodovia PR-990, no entroncamento da rodovia PR-364 e a cidade de Rebouças | 2025OB008722;26;R$ 11,239.64;sim
SEIL;DER;21/05/2025;755;Implantação da rodovia PR-990, no entroncamento da rodovia PR-364 e a cidade de Rebouças | 2025OB008723;26;R$ 28,099.10;sim
SEIL;DER;21/05/2025;755;Implantação da rodovia PR-990, no entroncamento da rodovia PR-364 e a cidade de Rebouças | 2025OB008724;26;R$ 897,298.08;sim
SEIL;DER;23/05/2025;755;Duplicação Ponta Grossa ¿ Palmeira e implantação do Contorno Rodoviário de Palmeira - PR-151 - 49,11km - VALOR CO R$ 294.660.000,00 | 2025OB009089;26;R$ 30,450.99;sim
SEIL;DER;23/05/2025;755;Duplicação Ponta Grossa ¿ Palmeira e implantação do Contorno Rodoviário de Palmeira - PR-151 - 49,11km - VALOR CO R$ 294.660.000,00 | 2025OB009090;26;R$ 20,791.94;sim
SEIL;DER;23/05/2025;755;Duplicação Ponta Grossa ¿ Palmeira e implantação do Contorno Rodoviário de Palmeira - PR-151 - 49,11km - VALOR CO R$ 294.660.000,00 | 2025OB009091;26;R$ 20,737.13;sim
SEIL;DER;23/05/2025;755;Duplicação Ponta Grossa ¿ Palmeira e implantação do Contorno Rodoviário de Palmeira - PR-151 - 49,11km - VALOR CO R$ 294.660.000,00 | 2025OB009092;26;R$ 2,465,602.93;sim
SEIL;DER;26/05/2025;755;Restauração com ampliação de capacidade da rodovia PR-180 trecho Goioerê | 2025OB009161;26;R$ 70,749.23;sim
SEIL;DER;26/05/2025;755;Restauração com ampliação de capacidade da rodovia PR-180 trecho Goioerê | 2025OB009162;26;R$ 58,533.19;sim
SEIL;DER;26/05/2025;755;Restauração com ampliação de capacidade da rodovia PR-180 trecho Goioerê | 2025OB009163;26;R$ 89,073.27;sim
SEIL;DER;26/05/2025;755;Restauração com ampliação de capacidade da rodovia PR-180 trecho Goioerê | 2025OB009164;26;R$ 5,677,413.06;sim
SEIL;DER;27/05/2025;755;Duplicação e restauração da rodovia PR-170/PRC-466, Pitanga-Turvo | 2025OB009264;26;R$ 1,569.32;sim
SEIL;DER;27/05/2025;755;Duplicação e restauração da rodovia PR-170/PRC-466, Pitanga-Turvo | 2025OB009265;26;R$ 1,842.78;sim
SEIL;DER;27/05/2025;755;Duplicação e restauração da rodovia PR-170/PRC-466, Pitanga-Turvo | 2025OB009266;26;R$ 1,266.58;sim
SEIL;DER;27/05/2025;755;Duplicação e restauração da rodovia PR-170/PRC-466, Pitanga-Turvo | 2025OB009267;26;R$ 1,540.68;sim
SEIL;DER;27/05/2025;755;Duplicação e restauração da rodovia PR-170/PRC-466, Pitanga-Turvo | 2025OB009268;26;R$ 124,557.57;sim
SEIL;DER;29/05/2025;755;ELABORAÇÃO DE PROJETO BÁSICO, PROJETO EXECUTIVO E EXECUÇÃO DA OBRA DE IMPLANTAÇÃO PR-092, TRECHO:CERRO AZUL - DOUTOR ULYSSES, LOTE 01, EXT. 12,000 KM - A FRENTE PARANÁ. | 2025OB009419;26;R$ 5,399.84;sim
SEIL;DER;29/05/2025;755;ELABORAÇÃO DE PROJETO BÁSICO, PROJETO EXECUTIVO E EXECUÇÃO DA OBRA DE IMPLANTAÇÃO PR-092, TRECHO:CERRO AZUL - DOUTOR ULYSSES, LOTE 01, EXT. 12,000 KM - A FRENTE PARANÁ. | 2025OB009420;26;R$ 7,199.80;sim
SEIL;DER;29/05/2025;755;ELABORAÇÃO DE PROJETO BÁSICO, PROJETO EXECUTIVO E EXECUÇÃO DA OBRA DE IMPLANTAÇÃO PR-092, TRECHO:CERRO AZUL - DOUTOR ULYSSES, LOTE 01, EXT. 12,000 KM - A FRENTE PARANÁ. | 2025OB009421;26;R$ 587,383.51;sim
SEPL;SEPL;29/05/2025;755;Centro de Convenções de Foz do Iguaçu | 2025OB000480;4;R$ 60,000,000.00;sim
SEPL;SEPL;29/05/2025;755;Centro de Convenções de Foz do Iguaçu | 2025OB000481;4;R$ 14,269,000.00;sim
SESP;SESP;07/05/2025;755;Reforma e ampliação da sede da 11ª CIPM CIPM no município de Cambé. | 2025OB036872;6;R$ 5,960.22;sim
SESP;SESP;07/05/2025;755;Reforma e ampliação da sede da 11ª CIPM CIPM no município de Cambé. | 2025OB036873;6;R$ 174,652.59;sim
SESP;SESP;27/05/2025;755;Reforma e ampliação da sede da 11ª CIPMCIPM no município de Cambé. | 2025OB046679;6;R$ 205,404.61;sim
SESP;SESP;28/05/2025;755;Harpya | 2025OB047944;6;R$ 2,187,471.20;sim
SESP;SESP;10/06/2025;755;Reforma e ampliação da sede da 11ª CIPM no município de Cambé. | 2025OB052516;6;R$ 7,009.67;sim
SESP;SESP;16/06/2025;755;Paraná Blindado | 2025OB057589;6;R$ 112,318.24;sim
SESP;SESP;16/06/2025;755;Paraná Blindado | 2025OB057589;6;R$ 98,278.46;sim
SESP;SESP;16/06/2025;755;Patrulha Costeira | 2025OB057589;6;R$ 26,568.48;sim
SESP;SESP;16/06/2025;755;Harpya | 2025OB057589;6;R$ 351,044.48;sim
SESP;SESP;16/06/2025;755;Harpya | 2025OB057590;6;R$ 3,861,813.84;sim
SEED;FUNDEPAR;02/06/2025;755;Estadual Moradias Lobato | 2025OB004681;12;R$ 7,120.58;sim
SEED;FUNDEPAR;02/06/2025;755;Estadual Moradias Lobato | 2025OB004682;12;R$ 5,466.86;sim
SEED;FUNDEPAR;02/06/2025;755;Estadual Moradias Lobato | 2025OB004683;12;R$ 442,984.05;sim
SEED;FUNDEPAR;05/06/2025;755;Construir a Escola Estadual Professora Mireille Maria Franco Zanon Machado, no município de Mandirituba (Unidade Nova Escolar Lagoinha). | 2025OB004836;12;R$ 2,884.92;sim
